ServiceID,CarID,Date_of_Service,ServiceType,Cost_of_Service
S120097,C40010,14/09/2022,Wheel Alignment,423.0
S12010,C03989,08/06/2023,Clutch Replacement,230.0
S120101,C40011,28/08/2025,Battery Replacement,211.0
S12011,C03989,04/07/2024,Major Service,288.0
S120133,C40023,16/08/2022,Air Filter Replacement,111.0
S120134,C40023,23/05/2021,Major Service,153.0
S120136,C40023,12/07/2022,Clutch Replacement,87.0
S120154,C40028,21/06/2025,Transmission Check,50.0
S120199,C40041,26/11/2022,Brake Replacement,475.0
S120200,C40041,09/03/2024,Battery Replacement,79.0
S120228,C40052,09/05/2022,Wheel Alignment,469.0
S120233,C40055,04/05/2022,Battery Replacement,77.0
S120234,C40055,22/12/2021,Air Filter Replacement,228.0
S120236,C40055,30/11/2024,Transmission Check,429.0
S120244,C40058,03/06/2024,Battery Replacement,74.0
S120247,C40058,27/07/2025,Oil Change,437.0
S120248,C40059,30/07/2024,Brake Replacement,56.0
S120263,C40064,26/10/2023,Battery Replacement,423.0
S120266,C40066,09/04/2022,Wheel Alignment,493.0
S120296,C40072,25/08/2022,Oil Change,489.0
S120309,C40076,09/10/2020,Air Filter Replacement,231.0
S120311,C40076,16/12/2021,Wheel Alignment,500.0
S120312,C40076,06/06/2023,Air Filter Replacement,420.0
S120318,C40079,20/10/2023,Oil Change,190.0
S120319,C40079,30/05/2021,Oil Change,275.0
S120320,C40080,01/05/2023,Wheel Alignment,437.0
S120321,C40080,17/08/2023,Suspension Check,345.0
S120322,C40080,05/04/2025,Air Filter Replacement,402.0
S120329,C40082,07/11/2023,Suspension Check,448.0
S120341,C40085,27/12/2023,Spark Plug Replacement,453.0
S120359,C40093,11/01/2025,Coolant Flush,190.0
S120365,C40096,24/08/2025,Battery Replacement,471.0
S120366,C40096,17/01/2025,Transmission Check,127.0
S120367,C40096,03/05/2024,Major Service,414.0
S120394,C40105,05/03/2025,Air Filter Replacement,91.0
S120395,C40105,16/05/2024,Transmission Check,435.0
S120413,C40111,06/02/2022,Battery Replacement,329.0
S120449,C40121,23/02/2021,Tire Replacement,237.0
S120464,C40127,13/02/2025,Wheel Alignment,447.0
S120465,C40127,15/12/2020,Wheel Alignment,377.0
S12047,C03999,03/05/2024,Air Filter Replacement,344.0
S120484,C40133,01/03/2023,Oil Change,496.0
S120486,C40133,19/03/2024,Battery Replacement,398.0
S120487,C40133,13/05/2023,Major Service,320.0
S120508,C40141,27/11/2023,Wheel Alignment,378.0
S120509,C40142,13/02/2024,Transmission Check,329.0
S120510,C40142,10/08/2023,Oil Change,54.0
S120511,C40142,23/06/2021,Wheel Alignment,123.0
S120515,C40144,25/03/2021,Transmission Check,288.0
S120516,C40144,09/10/2022,Coolant Flush,432.0
S120536,C40152,05/11/2024,Brake Replacement,128.0
S120541,C40154,11/09/2022,Air Filter Replacement,414.0
S120542,C40154,14/10/2021,Brake Replacement,397.0
S120543,C40154,08/11/2021,Battery Replacement,398.0
S120547,C40156,07/08/2021,Battery Replacement,141.0
S120551,C40156,25/06/2024,Tire Replacement,364.0
S120552,C40157,23/12/2023,Coolant Flush,137.0
S120553,C40157,02/03/2025,Brake Replacement,420.0
S120562,C40161,16/01/2024,Brake Replacement,198.0
S120563,C40161,10/03/2025,Major Service,386.0
S120566,C40162,04/02/2022,Suspension Check,271.0
S120573,C40164,29/09/2021,Air Filter Replacement,235.0
S120574,C40164,20/09/2024,Major Service,469.0
S120575,C40164,20/04/2022,Suspension Check,195.0
S120597,C40171,24/12/2023,Wheel Alignment,143.0
S120602,C40172,18/10/2023,Brake Replacement,441.0
S120607,C40174,20/10/2020,Transmission Check,170.0
S120608,C40174,19/03/2023,Brake Replacement,373.0
S120616,C40178,01/06/2021,Oil Change,111.0
S120618,C40179,08/12/2024,Coolant Flush,125.0
S120620,C40179,22/10/2022,Battery Replacement,210.0
S120621,C40180,25/02/2022,Coolant Flush,57.0
S120640,C40189,09/08/2024,Clutch Replacement,386.0
S120641,C40189,29/09/2020,Tire Replacement,199.0
S120659,C40196,16/01/2024,Spark Plug Replacement,196.0
S120672,C40200,22/05/2024,Major Service,216.0
S120675,C40200,29/10/2021,Clutch Replacement,325.0
S120703,C40208,30/09/2021,Brake Replacement,460.0
S120756,C40224,10/06/2024,Brake Replacement,199.0
S12076,C04010,14/11/2021,Spark Plug Replacement,63.0
S120773,C40230,27/10/2021,Clutch Replacement,265.0
S120775,C40230,06/10/2024,Suspension Check,393.0
S120784,C40232,07/08/2022,Wheel Alignment,248.0
S12079,C04010,30/10/2020,Transmission Check,156.0
S12080,C04010,19/12/2021,Brake Replacement,180.0
S120810,C40241,27/09/2022,Spark Plug Replacement,60.0
S120833,C40248,27/01/2021,Major Service,492.0
S120835,C40248,30/12/2022,Clutch Replacement,465.0
S120836,C40248,15/11/2021,Brake Replacement,431.0
S120852,C40253,02/04/2024,Oil Change,254.0
S120861,C40255,23/04/2021,Spark Plug Replacement,442.0
S120862,C40255,21/03/2022,Clutch Replacement,315.0
S120863,C40255,02/02/2024,Tire Replacement,315.0
S12088,C04013,19/01/2022,Suspension Check,164.0
S120881,C40262,25/01/2022,Battery Replacement,449.0
S120889,C40264,10/10/2022,Transmission Check,423.0
S120891,C40265,08/06/2022,Clutch Replacement,206.0
S120893,C40265,08/06/2025,Coolant Flush,237.0
S120899,C40267,06/02/2022,Oil Change,330.0
S120902,C40269,12/06/2024,Transmission Check,374.0
S120920,C40276,08/10/2023,Coolant Flush,487.0
S120942,C40284,13/04/2025,Clutch Replacement,237.0
S120944,C40284,01/04/2023,Battery Replacement,392.0
S120946,C40285,19/05/2022,Coolant Flush,338.0
S12095,C04017,08/05/2025,Brake Replacement,231.0
S121001,C40302,18/08/2025,Oil Change,438.0
S121002,C40302,02/12/2024,Brake Replacement,196.0
S121003,C40303,27/09/2022,Battery Replacement,62.0
S121004,C40304,11/06/2021,Tire Replacement,482.0
S121017,C40308,04/12/2021,Tire Replacement,241.0
S121019,C40310,07/06/2023,Oil Change,98.0
S121029,C40314,28/10/2023,Spark Plug Replacement,337.0
S12107,C04021,30/09/2021,Brake Replacement,109.0
S121082,C40331,03/03/2022,Spark Plug Replacement,452.0
S121083,C40331,06/05/2021,Major Service,277.0
S12109,C04021,26/09/2022,Spark Plug Replacement,185.0
S12110,C04021,08/05/2025,Oil Change,218.0
S121100,C40337,02/01/2023,Wheel Alignment,279.0
S121104,C40338,09/01/2022,Suspension Check,241.0
S121127,C40347,04/09/2020,Spark Plug Replacement,462.0
S121129,C40348,26/10/2020,Air Filter Replacement,243.0
S12113,C04022,27/07/2023,Battery Replacement,201.0
S121131,C40349,09/08/2025,Coolant Flush,149.0
S121140,C40352,06/09/2024,Wheel Alignment,196.0
S121143,C40352,26/01/2023,Wheel Alignment,357.0
S121147,C40354,12/11/2022,Major Service,164.0
S12115,C04022,15/10/2021,Tire Replacement,272.0
S121155,C40357,30/12/2021,Spark Plug Replacement,299.0
S121164,C40360,30/12/2024,Suspension Check,266.0
S121178,C40365,25/05/2022,Air Filter Replacement,435.0
S121206,C40377,12/12/2020,Major Service,244.0
S121209,C40379,28/04/2021,Major Service,203.0
S121210,C40379,17/12/2021,Battery Replacement,310.0
S121229,C40384,25/04/2025,Transmission Check,179.0
S121290,C40402,15/07/2021,Wheel Alignment,496.0
S121294,C40403,15/02/2025,Tire Replacement,493.0
S121316,C40413,09/10/2024,Brake Replacement,484.0
S121317,C40414,11/06/2021,Wheel Alignment,126.0
S121318,C40414,11/06/2024,Major Service,304.0
S121320,C40414,30/01/2023,Oil Change,498.0
S121348,C40423,14/05/2022,Clutch Replacement,276.0
S121349,C40423,01/10/2020,Spark Plug Replacement,212.0
S121363,C40427,24/05/2024,Tire Replacement,114.0
S121374,C40430,06/02/2025,Brake Replacement,142.0
S121379,C40432,03/04/2025,Brake Replacement,304.0
S12138,C04033,18/01/2023,Coolant Flush,312.0
S121390,C40435,29/10/2024,Major Service,319.0
S121395,C40437,13/09/2024,Air Filter Replacement,285.0
S121397,C40437,08/09/2021,Brake Replacement,480.0
S121398,C40437,05/10/2020,Battery Replacement,247.0
S121404,C40440,07/09/2024,Major Service,455.0
S121406,C40440,08/02/2023,Battery Replacement,422.0
S121408,C40440,04/01/2022,Coolant Flush,113.0
S121411,C40441,21/09/2020,Major Service,273.0
S121422,C40446,03/01/2024,Suspension Check,80.0
S121430,C40449,08/09/2021,Tire Replacement,149.0
S121439,C40451,27/03/2022,Air Filter Replacement,286.0
S121440,C40451,25/10/2024,Major Service,212.0
S121441,C40451,19/09/2023,Oil Change,314.0
S121455,C40456,30/03/2022,Battery Replacement,64.0
S121458,C40456,31/12/2023,Major Service,383.0
S12148,C04036,29/07/2025,Major Service,133.0
S121480,C40463,12/09/2021,Brake Replacement,340.0
S121482,C40463,06/05/2025,Battery Replacement,440.0
S121483,C40463,15/11/2022,Air Filter Replacement,101.0
S121485,C40465,31/12/2022,Clutch Replacement,110.0
S121506,C40473,17/04/2022,Brake Replacement,79.0
S121508,C40473,08/10/2022,Suspension Check,141.0
S12153,C04037,18/04/2021,Transmission Check,299.0
S121553,C40491,26/10/2021,Coolant Flush,270.0
S121555,C40491,26/01/2025,Clutch Replacement,364.0
S121556,C40491,15/11/2021,Major Service,482.0
S12157,C04040,11/09/2023,Transmission Check,465.0
S12158,C04041,11/02/2025,Wheel Alignment,221.0
S121607,C40508,08/05/2022,Spark Plug Replacement,462.0
S121608,C40508,23/03/2025,Wheel Alignment,315.0
S121627,C40515,30/09/2023,Wheel Alignment,261.0
S121628,C40515,12/06/2023,Clutch Replacement,482.0
S121639,C40519,23/06/2023,Oil Change,272.0
S121640,C40520,12/11/2024,Brake Replacement,332.0
S121641,C40520,06/10/2020,Transmission Check,464.0
S121645,C40522,26/01/2025,Battery Replacement,316.0
S121646,C40522,23/07/2023,Tire Replacement,348.0
S121650,C40524,05/03/2022,Wheel Alignment,271.0
S121651,C40524,09/07/2024,Battery Replacement,433.0
S121695,C40539,04/01/2024,Oil Change,310.0
S121749,C40554,07/09/2023,Oil Change,180.0
S12177,C04047,23/07/2025,Suspension Check,399.0
S121773,C40563,26/04/2023,Air Filter Replacement,300.0
S121774,C40563,09/03/2024,Transmission Check,92.0
S121775,C40563,28/02/2024,Suspension Check,301.0
S121778,C40565,14/07/2023,Battery Replacement,192.0
S12178,C04048,06/12/2020,Brake Replacement,90.0
S121780,C40565,31/10/2021,Brake Replacement,423.0
S12179,C04049,25/01/2022,Suspension Check,195.0
S121798,C40571,15/09/2023,Battery Replacement,268.0
S121799,C40571,11/01/2021,Clutch Replacement,239.0
S121801,C40572,04/12/2021,Oil Change,252.0
S121814,C40577,29/08/2025,Clutch Replacement,449.0
S121817,C40578,05/01/2025,Transmission Check,225.0
S121818,C40578,20/03/2025,Transmission Check,64.0
S121819,C40578,20/11/2023,Clutch Replacement,375.0
S121826,C40581,18/08/2022,Battery Replacement,107.0
S121827,C40581,06/08/2021,Major Service,218.0
S121828,C40581,22/11/2021,Air Filter Replacement,173.0
S121853,C40590,13/02/2023,Coolant Flush,154.0
S121855,C40590,19/11/2024,Suspension Check,260.0
S121879,C40597,29/10/2020,Suspension Check,461.0
S121880,C40597,10/03/2022,Coolant Flush,60.0
S121881,C40597,15/08/2024,Air Filter Replacement,407.0
S121903,C40605,15/04/2025,Clutch Replacement,351.0
S121904,C40605,13/05/2025,Battery Replacement,263.0
S121936,C40615,06/09/2020,Coolant Flush,140.0
S121944,C40617,27/09/2024,Coolant Flush,173.0
S121947,C40618,27/04/2022,Air Filter Replacement,86.0
S121961,C40623,19/12/2024,Coolant Flush,394.0
S121969,C40626,15/08/2024,Wheel Alignment,388.0
S121971,C40626,07/04/2024,Transmission Check,427.0
S122016,C40640,04/02/2022,Tire Replacement,360.0
S122024,C40643,07/04/2021,Spark Plug Replacement,62.0
S122035,C40647,06/12/2021,Wheel Alignment,397.0
S122038,C40648,14/08/2022,Clutch Replacement,486.0
S122040,C40648,01/05/2021,Suspension Check,271.0
S122058,C40653,04/11/2024,Major Service,332.0
S12206,C04058,29/03/2021,Brake Replacement,274.0
S122061,C40654,26/12/2021,Suspension Check,244.0
S122068,C40658,01/09/2024,Suspension Check,476.0
S122069,C40658,05/10/2022,Brake Replacement,426.0
S122071,C40659,06/07/2025,Major Service,375.0
S122072,C40659,05/12/2020,Transmission Check,495.0
S122076,C40660,01/07/2021,Suspension Check,222.0
S122113,C40672,05/10/2022,Coolant Flush,120.0
S122114,C40672,17/01/2024,Wheel Alignment,464.0
S122115,C40672,21/05/2024,Battery Replacement,186.0
S122128,C40677,28/10/2022,Tire Replacement,376.0
S122145,C40682,05/08/2025,Major Service,498.0
S122192,C40699,01/12/2024,Wheel Alignment,210.0
S122193,C40699,08/05/2021,Coolant Flush,106.0
S122243,C40714,05/07/2024,Spark Plug Replacement,156.0
S122246,C40715,13/07/2023,Tire Replacement,310.0
S122247,C40715,20/07/2025,Battery Replacement,296.0
S122249,C40716,05/08/2024,Clutch Replacement,90.0
S122288,C40726,23/08/2022,Coolant Flush,319.0
S122296,C40729,31/05/2021,Spark Plug Replacement,292.0
S122298,C40729,17/12/2020,Battery Replacement,486.0
S122331,C40740,30/06/2023,Tire Replacement,407.0
S122336,C40742,16/03/2021,Coolant Flush,215.0
S12234,C04065,02/03/2022,Oil Change,131.0
S122340,C40744,04/04/2023,Battery Replacement,249.0
S122342,C40744,17/04/2023,Suspension Check,242.0
S122343,C40744,20/10/2024,Oil Change,80.0
S122356,C40749,10/11/2021,Air Filter Replacement,115.0
S122357,C40749,01/09/2020,Transmission Check,461.0
S122359,C40749,27/07/2024,Suspension Check,356.0
S122364,C40751,20/09/2020,Air Filter Replacement,249.0
S122366,C40751,27/06/2023,Wheel Alignment,297.0
S122389,C40760,05/02/2021,Air Filter Replacement,439.0
S122390,C40760,08/09/2021,Major Service,135.0
S122392,C40760,07/07/2022,Oil Change,440.0
S122439,C40777,23/03/2022,Suspension Check,411.0
S122440,C40777,08/06/2024,Major Service,486.0
S122441,C40777,06/11/2020,Transmission Check,256.0
S12249,C04069,17/06/2024,Major Service,304.0
S122498,C40794,07/07/2025,Wheel Alignment,364.0
S122505,C40797,28/12/2023,Battery Replacement,119.0
S122506,C40797,08/01/2025,Tire Replacement,399.0
S122507,C40798,07/12/2024,Wheel Alignment,130.0
S122509,C40799,14/03/2025,Wheel Alignment,117.0
S122510,C40799,04/07/2022,Clutch Replacement,166.0
S122511,C40799,30/01/2024,Transmission Check,273.0
S122523,C40804,14/08/2021,Coolant Flush,278.0
S12254,C04071,24/10/2020,Clutch Replacement,340.0
S122544,C40812,17/11/2022,Spark Plug Replacement,223.0
S122545,C40812,17/03/2023,Brake Replacement,427.0
S122547,C40812,23/02/2021,Spark Plug Replacement,399.0
S12256,C04071,09/06/2022,Tire Replacement,466.0
S12257,C04071,02/05/2025,Oil Change,313.0
S122585,C40825,08/07/2023,Wheel Alignment,119.0
S122593,C40826,20/07/2024,Brake Replacement,322.0
S122607,C40830,10/04/2023,Transmission Check,318.0
S122608,C40830,12/02/2023,Major Service,195.0
S122611,C40831,02/12/2022,Transmission Check,245.0
S122620,C40833,04/09/2020,Tire Replacement,177.0
S122622,C40833,19/01/2022,Wheel Alignment,112.0
S122623,C40834,12/07/2021,Wheel Alignment,315.0
S122640,C40841,24/11/2020,Coolant Flush,431.0
S122643,C40842,25/11/2021,Battery Replacement,146.0
S122657,C40846,03/01/2025,Battery Replacement,363.0
S122681,C40855,07/12/2021,Major Service,75.0
S12276,C04078,26/02/2021,Clutch Replacement,123.0
S122763,C40878,16/05/2023,Brake Replacement,366.0
S122764,C40878,08/07/2024,Spark Plug Replacement,371.0
S122768,C40880,20/04/2025,Tire Replacement,475.0
S122769,C40880,14/02/2023,Brake Replacement,369.0
S122805,C40895,21/11/2024,Oil Change,271.0
S122807,C40897,20/06/2021,Transmission Check,180.0
S122810,C40897,24/02/2021,Wheel Alignment,82.0
S122811,C40897,07/12/2023,Suspension Check,360.0
S122839,C40906,01/05/2023,Spark Plug Replacement,498.0
S122840,C40906,01/09/2020,Oil Change,498.0
S122843,C40907,01/12/2023,Oil Change,240.0
S122844,C40908,12/07/2024,Air Filter Replacement,210.0
S122845,C40908,29/07/2021,Transmission Check,359.0
S122849,C40911,12/08/2023,Wheel Alignment,116.0
S122854,C40912,19/06/2022,Clutch Replacement,94.0
S122855,C40912,08/12/2022,Transmission Check,109.0
S122863,C40915,12/08/2021,Spark Plug Replacement,118.0
S122865,C40916,22/04/2023,Major Service,138.0
S122878,C40920,13/03/2024,Clutch Replacement,226.0
S122881,C40920,10/03/2022,Suspension Check,261.0
S122882,C40920,03/10/2021,Oil Change,227.0
S122884,C40921,10/05/2024,Tire Replacement,99.0
S122886,C40922,28/06/2023,Spark Plug Replacement,436.0
S122889,C40923,20/10/2021,Transmission Check,104.0
S122894,C40926,29/05/2024,Spark Plug Replacement,215.0
S122895,C40926,08/12/2023,Spark Plug Replacement,359.0
S122907,C40930,14/10/2024,Air Filter Replacement,255.0
S122908,C40930,04/10/2022,Brake Replacement,312.0
S12293,C04083,16/12/2021,Oil Change,257.0
S122937,C40939,22/03/2025,Clutch Replacement,171.0
S122938,C40939,08/01/2022,Air Filter Replacement,232.0
S122957,C40946,16/10/2022,Clutch Replacement,94.0
S122969,C40949,07/01/2021,Coolant Flush,225.0
S123020,C40966,02/11/2021,Brake Replacement,144.0
S123030,C40969,11/12/2023,Brake Replacement,86.0
S123032,C40969,23/06/2025,Clutch Replacement,466.0
S123043,C40972,20/05/2024,Battery Replacement,223.0
S123054,C40975,25/05/2021,Tire Replacement,383.0
S123055,C40975,11/01/2021,Major Service,297.0
S123060,C40978,08/01/2023,Wheel Alignment,481.0
S123062,C40978,11/07/2023,Air Filter Replacement,386.0
S123071,C40982,22/04/2022,Spark Plug Replacement,263.0
S123072,C40982,30/09/2023,Wheel Alignment,369.0
S12309,C04087,24/10/2023,Air Filter Replacement,487.0
S123091,C40988,05/12/2021,Major Service,277.0
S123093,C40988,05/07/2025,Transmission Check,376.0
S123094,C40989,10/01/2021,Oil Change,145.0
S123097,C40989,20/01/2023,Transmission Check,113.0
S123101,C40991,04/06/2025,Battery Replacement,74.0
S123103,C40991,07/08/2025,Battery Replacement,289.0
S123104,C40991,02/07/2022,Brake Replacement,422.0
S123136,C41003,19/02/2024,Suspension Check,334.0
S123137,C41003,25/09/2023,Tire Replacement,304.0
S123172,C41013,28/12/2024,Spark Plug Replacement,82.0
S123173,C41013,29/07/2022,Wheel Alignment,452.0
S123179,C41015,28/06/2023,Suspension Check,375.0
S123180,C41015,10/12/2022,Oil Change,51.0
S123191,C41019,24/04/2022,Tire Replacement,58.0
S123198,C41020,26/10/2024,Transmission Check,163.0
S123219,C41028,30/10/2023,Major Service,459.0
S123232,C41032,24/12/2021,Tire Replacement,301.0
S123233,C41032,14/01/2021,Air Filter Replacement,420.0
S123235,C41032,01/04/2022,Oil Change,451.0
S123239,C41034,20/02/2023,Clutch Replacement,175.0
S12324,C04092,07/09/2021,Suspension Check,455.0
S123241,C41034,27/05/2024,Clutch Replacement,92.0
S123242,C41034,02/11/2023,Suspension Check,491.0
S12325,C04092,20/10/2023,Transmission Check,423.0
S123253,C41039,17/03/2025,Battery Replacement,355.0
S123254,C41039,04/10/2020,Oil Change,116.0
S123255,C41039,15/10/2022,Suspension Check,272.0
S123256,C41040,25/06/2022,Clutch Replacement,386.0
S123257,C41040,02/08/2023,Spark Plug Replacement,255.0
S12326,C04092,16/01/2023,Wheel Alignment,259.0
S123264,C41042,26/03/2022,Spark Plug Replacement,486.0
S12328,C04093,11/04/2021,Battery Replacement,354.0
S123283,C41050,21/07/2021,Battery Replacement,58.0
S123284,C41050,20/03/2021,Air Filter Replacement,441.0
S12329,C04093,07/03/2022,Brake Replacement,80.0
S12330,C04093,24/01/2025,Coolant Flush,350.0
S123306,C41057,21/07/2025,Brake Replacement,209.0
S123307,C41057,22/06/2023,Clutch Replacement,233.0
S123308,C41057,22/10/2022,Clutch Replacement,112.0
S123313,C41060,09/08/2021,Spark Plug Replacement,115.0
S123314,C41060,13/05/2021,Clutch Replacement,367.0
S123315,C41060,15/04/2022,Brake Replacement,288.0
S123325,C41063,10/10/2020,Tire Replacement,472.0
S123334,C41066,04/02/2025,Battery Replacement,251.0
S123335,C41066,12/04/2021,Brake Replacement,201.0
S123341,C41068,23/05/2021,Tire Replacement,183.0
S123348,C41071,28/02/2021,Clutch Replacement,51.0
S12335,C04094,02/07/2024,Suspension Check,202.0
S123352,C41071,02/12/2020,Suspension Check,79.0
S123371,C41078,10/05/2023,Major Service,366.0
S123373,C41078,01/04/2022,Clutch Replacement,427.0
S123374,C41079,24/05/2023,Major Service,325.0
S123376,C41079,03/08/2023,Battery Replacement,70.0
S123378,C41079,28/05/2021,Brake Replacement,194.0
S123410,C41089,01/01/2022,Major Service,336.0
S123420,C41092,10/05/2025,Tire Replacement,75.0
S123423,C41092,08/09/2021,Wheel Alignment,386.0
S123446,C41100,26/08/2024,Battery Replacement,318.0
S123461,C41105,03/06/2022,Suspension Check,419.0
S123462,C41105,12/06/2021,Tire Replacement,218.0
S123463,C41105,11/04/2021,Clutch Replacement,111.0
S123485,C41113,08/06/2024,Major Service,223.0
S123486,C41113,22/05/2024,Spark Plug Replacement,391.0
S123489,C41114,24/01/2024,Air Filter Replacement,183.0
S123492,C41115,21/02/2024,Transmission Check,366.0
S123498,C41117,25/09/2023,Clutch Replacement,76.0
S123502,C41119,28/03/2024,Suspension Check,439.0
S123503,C41119,11/09/2022,Brake Replacement,371.0
S123504,C41119,10/04/2025,Spark Plug Replacement,149.0
S123520,C41124,16/01/2023,Brake Replacement,467.0
S123521,C41124,03/12/2021,Major Service,68.0
S123543,C41136,11/04/2024,Major Service,317.0
S123558,C41141,24/02/2022,Coolant Flush,440.0
S123561,C41141,05/02/2024,Suspension Check,135.0
S123562,C41142,15/07/2021,Transmission Check,421.0
S123563,C41142,10/11/2022,Suspension Check,389.0
S123570,C41146,17/05/2025,Battery Replacement,102.0
S123572,C41146,08/10/2021,Oil Change,497.0
S123573,C41146,14/12/2020,Spark Plug Replacement,499.0
S123613,C41160,29/08/2022,Major Service,400.0
S123625,C41164,29/04/2024,Oil Change,159.0
S123648,C41172,05/05/2021,Battery Replacement,81.0
S12365,C04108,08/07/2021,Brake Replacement,148.0
S123652,C41175,04/11/2021,Brake Replacement,182.0
S123653,C41175,05/02/2025,Major Service,136.0
S123658,C41176,07/05/2021,Air Filter Replacement,285.0
S12366,C04108,28/01/2021,Wheel Alignment,274.0
S12367,C04108,16/02/2021,Coolant Flush,139.0
S12369,C04109,28/03/2023,Clutch Replacement,368.0
S123700,C41191,05/01/2025,Battery Replacement,347.0
S123702,C41191,01/11/2022,Clutch Replacement,311.0
S123703,C41191,24/10/2020,Battery Replacement,60.0
S123717,C41195,16/04/2022,Suspension Check,102.0
S123731,C41200,14/02/2023,Air Filter Replacement,397.0
S123733,C41200,02/04/2024,Transmission Check,160.0
S123734,C41200,20/05/2025,Major Service,467.0
S123744,C41206,12/12/2022,Major Service,129.0
S123745,C41206,16/10/2024,Clutch Replacement,350.0
S123761,C41210,07/10/2020,Spark Plug Replacement,476.0
S123762,C41210,16/12/2024,Clutch Replacement,265.0
S123764,C41210,29/05/2023,Major Service,416.0
S123768,C41211,24/09/2022,Wheel Alignment,267.0
S123784,C41216,21/12/2024,Clutch Replacement,250.0
S123785,C41216,02/07/2025,Transmission Check,467.0
S123792,C41219,21/07/2025,Brake Replacement,92.0
S123799,C41222,20/05/2021,Transmission Check,484.0
S123800,C41222,12/11/2022,Tire Replacement,147.0
S123817,C41230,19/10/2020,Tire Replacement,307.0
S123819,C41230,01/01/2024,Coolant Flush,187.0
S123820,C41230,18/07/2024,Coolant Flush,319.0
S123830,C41235,27/05/2021,Transmission Check,456.0
S123851,C41242,06/04/2021,Suspension Check,498.0
S123872,C41249,13/09/2022,Brake Replacement,117.0
S123873,C41249,28/09/2023,Spark Plug Replacement,250.0
S123879,C41251,11/08/2025,Transmission Check,350.0
S123882,C41251,09/05/2024,Coolant Flush,274.0
S123884,C41253,08/04/2024,Battery Replacement,55.0
S123888,C41254,18/04/2024,Wheel Alignment,488.0
S123909,C41262,03/07/2021,Coolant Flush,332.0
S123910,C41262,11/12/2021,Transmission Check,278.0
S123911,C41262,17/12/2020,Battery Replacement,100.0
S123937,C41271,09/10/2023,Transmission Check,197.0
S123938,C41271,08/10/2022,Coolant Flush,264.0
S123964,C41278,15/05/2023,Transmission Check,465.0
S123972,C41280,30/06/2024,Oil Change,156.0
S123974,C41281,09/11/2020,Suspension Check,172.0
S123977,C41282,22/07/2022,Tire Replacement,252.0
S123978,C41282,11/06/2024,Tire Replacement,287.0
S123996,C41288,06/08/2024,Air Filter Replacement,287.0
S123997,C41289,04/08/2021,Suspension Check,243.0
S123998,C41290,24/08/2023,Suspension Check,392.0
S123999,C41290,25/10/2023,Spark Plug Replacement,65.0
S124012,C41295,02/05/2021,Transmission Check,159.0
S124027,C41300,09/06/2025,Battery Replacement,237.0
S124028,C41300,29/12/2020,Oil Change,130.0
S12403,C04121,10/10/2024,Spark Plug Replacement,219.0
S124035,C41302,03/07/2021,Clutch Replacement,458.0
S12404,C04121,07/01/2023,Tire Replacement,351.0
S12405,C04121,17/09/2021,Battery Replacement,337.0
S124055,C41308,06/01/2021,Transmission Check,449.0
S124056,C41308,11/06/2022,Suspension Check,413.0
S124088,C41321,22/04/2023,Transmission Check,477.0
S124102,C41326,16/10/2022,Battery Replacement,322.0
S124103,C41326,24/10/2022,Brake Replacement,487.0
S124133,C41337,28/02/2021,Transmission Check,296.0
S124134,C41337,10/04/2022,Transmission Check,428.0
S124136,C41337,10/02/2022,Clutch Replacement,176.0
S124141,C41340,08/11/2020,Clutch Replacement,423.0
S124142,C41340,20/07/2022,Suspension Check,308.0
S124143,C41340,05/09/2023,Oil Change,260.0
S124182,C41355,05/12/2020,Coolant Flush,118.0
S124183,C41355,14/10/2024,Tire Replacement,236.0
S124185,C41355,18/04/2024,Battery Replacement,207.0
S124214,C41365,11/09/2020,Suspension Check,314.0
S124215,C41365,04/01/2022,Coolant Flush,202.0
S124244,C41374,23/02/2022,Oil Change,409.0
S124251,C41376,10/12/2024,Transmission Check,448.0
S124253,C41376,28/12/2021,Transmission Check,81.0
S124278,C41385,10/09/2021,Air Filter Replacement,113.0
S124281,C41386,01/07/2023,Coolant Flush,362.0
S124282,C41386,28/08/2023,Clutch Replacement,301.0
S12429,C04129,06/02/2025,Air Filter Replacement,399.0
S124294,C41390,13/06/2021,Clutch Replacement,431.0
S124295,C41390,06/03/2023,Major Service,418.0
S124296,C41390,21/01/2022,Brake Replacement,113.0
S124308,C41397,14/10/2021,Oil Change,425.0
S124309,C41397,30/10/2022,Spark Plug Replacement,352.0
S124311,C41397,20/11/2020,Major Service,219.0
S124356,C41414,04/05/2025,Coolant Flush,170.0
S124357,C41415,22/10/2024,Tire Replacement,307.0
S124358,C41415,23/11/2023,Oil Change,143.0
S124385,C41422,18/09/2020,Wheel Alignment,488.0
S124386,C41422,21/11/2024,Oil Change,331.0
S124387,C41422,06/12/2021,Brake Replacement,481.0
S124401,C41427,02/04/2023,Wheel Alignment,242.0
S124402,C41427,20/10/2022,Brake Replacement,484.0
S124403,C41427,24/02/2021,Tire Replacement,349.0
S124427,C41436,18/08/2021,Tire Replacement,166.0
S124440,C41441,09/06/2023,Transmission Check,243.0
S124442,C41442,14/02/2022,Coolant Flush,259.0
S124480,C41454,30/09/2024,Major Service,394.0
S124483,C41454,15/08/2022,Battery Replacement,305.0
S124489,C41457,30/05/2022,Air Filter Replacement,368.0
S124503,C41461,02/09/2021,Air Filter Replacement,309.0
