AccidentID,CarID,Date_of_Accident,Description,Cost_of_Repair,Severity
A08418,C05639,20/07/2024,Minor fender bender,1825.0,Minor
A08419,C05639,07/05/2023,Minor collision at roundabout,680.0,Major
A08422,C05641,26/01/2025,Front-end collision,862.0,Major
A08423,C05641,06/06/2022,Tire puncture during accident,2449.0,Moderate
A08424,C05641,07/06/2025,Collision with pole,266.0,Major
A08425,C05643,04/02/2021,Door dent from tight parking,2941.0,Moderate
A08426,C05643,08/10/2020,Side swipe from passing vehicle,638.0,Moderate
A08427,C05643,25/10/2024,Minor collision at roundabout,828.0,Minor
A08428,C05644,20/06/2022,Front bumper scrape,2453.0,Major
A08430,C05647,19/03/2025,Front-end collision,3971.0,Minor
A08441,C05653,02/10/2020,Rear quarter panel dent,1144.0,Severe
A08442,C05654,14/03/2024,Scratched paint on rear bumper,4122.0,Severe
A08443,C05654,20/09/2020,Parking lot scrape,3654.0,Severe
A08444,C05654,21/11/2023,Collision with pole,3037.0,Moderate
A08451,C05662,16/10/2022,Accident on slippery road,4983.0,Moderate
A08452,C05663,21/09/2022,Fender scratch from curb,1868.0,Moderate
A08453,C05663,09/10/2024,Hood dent from minor crash,908.0,Minor
A08454,C05663,22/08/2022,Front bumper scrape,987.0,Major
A08456,C05666,21/12/2022,Rear-end hit at traffic light,2553.0,Moderate
A08459,C05668,09/05/2021,Rear-end hit at traffic light,2102.0,Minor
A08460,C05668,03/11/2024,Side mirror broken,2446.0,Major
A08467,C05673,27/08/2021,Fender scratch from curb,2532.0,Severe
A08468,C05673,16/03/2025,Windshield damage,3013.0,Severe
A08472,C05678,15/10/2022,Collision with pole,4729.0,Moderate
A08473,C05680,20/07/2021,Side swipe from passing vehicle,4835.0,Minor
A08474,C05680,02/08/2022,Rear bumper collision,1555.0,Severe
A08482,C05684,11/05/2021,Side panel scratch,1967.0,Severe
A08483,C05685,12/03/2022,Rear bumper collision,1849.0,Major
A08484,C05685,03/12/2024,Collision with pole,3382.0,Major
A08485,C05686,23/11/2021,Windshield damage,3574.0,Moderate
A08487,C05688,21/09/2024,Minor fender bender,1203.0,Minor
A08488,C05688,01/09/2021,Windshield damage,3541.0,Severe
A08489,C05688,02/03/2022,Hood dent from minor crash,2559.0,Moderate
A08490,C05689,13/05/2022,Windshield damage,4335.0,Moderate
A08498,C05693,04/06/2024,Tire puncture during accident,1153.0,Major
A08499,C05693,10/06/2023,Side swipe from passing vehicle,2121.0,Minor
A08503,C05695,02/09/2023,Side mirror broken,1993.0,Severe
A08504,C05698,01/10/2024,Door dent from tight parking,3621.0,Minor
A08519,C05708,05/05/2025,Rear-end hit at traffic light,3155.0,Severe
A08520,C05708,07/05/2022,Minor collision at roundabout,1219.0,Severe
A08521,C05708,24/12/2023,Fender scratch from curb,193.0,Severe
A08526,C05712,05/08/2025,Damage from pothole incident,4579.0,Minor
A08527,C05713,27/08/2021,Minor collision at roundabout,1043.0,Minor
A08528,C05713,26/02/2022,Scratched paint on rear bumper,444.0,Minor
A08529,C05713,17/12/2024,Rear-end hit at traffic light,551.0,Major
A08534,C05716,06/09/2023,Front bumper scrape,450.0,Severe
A08535,C05716,28/01/2025,Rear quarter panel dent,1111.0,Severe
A08542,C05719,19/01/2023,Head-on collision,4805.0,Major
A08543,C05719,13/02/2024,Door dent from tight parking,281.0,Minor
A08555,C05727,23/04/2022,Windshield damage,3634.0,Minor
A08561,C05730,10/07/2022,Minor collision at roundabout,4337.0,Minor
A08562,C05730,04/05/2023,Front-end collision,2820.0,Severe
A08566,C05735,11/11/2021,Damage from pothole incident,1341.0,Moderate
A08567,C05735,07/02/2021,Windshield damage,4610.0,Severe
A08568,C05735,12/04/2021,Damage from pothole incident,2627.0,Major
A08579,C05740,27/08/2022,Hood dent from minor crash,4441.0,Minor
A08580,C05740,21/09/2023,Front bumper scrape,799.0,Major
A08585,C05743,14/06/2021,Tire puncture during accident,966.0,Severe
A08590,C05747,06/11/2021,Fender scratch from curb,4655.0,Minor
A08591,C05748,27/09/2021,Rear-end hit at traffic light,254.0,Moderate
A08592,C05748,15/12/2023,Door dent from tight parking,165.0,Major
A08593,C05748,24/05/2023,Front-end collision,2293.0,Severe
A08594,C05749,30/12/2024,Front bumper scrape,3922.0,Major
A08595,C05750,30/03/2022,Windshield damage,2699.0,Minor
A08596,C05750,20/10/2023,Front-end collision,3717.0,Severe
A08597,C05750,21/07/2025,Minor parking lot accident,4157.0,Severe
A08601,C05755,21/07/2023,Side panel scratch,3442.0,Major
A08602,C05755,15/08/2023,Minor collision at roundabout,2713.0,Major
A08603,C05755,21/12/2021,Accident on slippery road,3039.0,Minor
A08607,C05757,12/02/2023,Collision with pole,3560.0,Moderate
A08615,C05763,28/09/2020,Accident on slippery road,3561.0,Minor
A08616,C05763,18/02/2022,Tire puncture during accident,4955.0,Minor
A08617,C05764,10/12/2021,Minor collision at roundabout,835.0,Moderate
A08618,C05764,19/11/2022,Minor collision at roundabout,4862.0,Minor
A08619,C05765,10/06/2024,Side mirror broken,3326.0,Severe
A08620,C05765,27/05/2024,Minor collision at roundabout,1011.0,Minor
A08621,C05765,12/08/2021,Rear bumper collision,423.0,Severe
A08624,C05767,16/08/2024,Hood dent from minor crash,4565.0,Major
A08629,C05771,25/09/2022,Damage from pothole incident,781.0,Minor
A08630,C05771,01/01/2023,Windshield damage,2762.0,Moderate
A08631,C05771,02/08/2021,Side swipe from passing vehicle,1455.0,Major
A08632,C05772,04/09/2024,Collision with pole,4551.0,Major
A08647,C05786,01/01/2023,Head-on collision,2343.0,Minor
A08648,C05786,11/12/2022,Accident on slippery road,493.0,Moderate
A08649,C05788,15/01/2021,Scratched paint on rear bumper,2026.0,Major
A08650,C05788,05/10/2023,Front bumper scrape,469.0,Moderate
A08659,C05795,17/04/2025,Tire puncture during accident,2191.0,Severe
A08660,C05795,05/09/2024,Parking lot scrape,2309.0,Major
A08669,C05804,15/05/2023,Parking lot scrape,1692.0,Moderate
A08679,C05810,27/09/2023,Front-end collision,412.0,Moderate
A08680,C05810,01/04/2022,Side panel scratch,4597.0,Minor
A08681,C05810,29/08/2021,Minor fender bender,417.0,Moderate
A08687,C05816,24/02/2021,Fender scratch from curb,1117.0,Major
A08703,C05823,24/07/2025,Side panel scratch,3880.0,Minor
A08704,C05824,06/04/2025,Side swipe from passing vehicle,1825.0,Moderate
A08711,C05827,07/09/2023,Collision with pole,2925.0,Moderate
A08722,C05837,20/06/2023,Rear quarter panel dent,2864.0,Minor
A08723,C05837,15/11/2023,Scratched paint on rear bumper,3154.0,Major
A08724,C05837,24/06/2024,Scratched paint on rear bumper,398.0,Severe
A08733,C05842,11/07/2024,Rear quarter panel dent,2561.0,Severe
A08734,C05842,16/07/2025,Tire puncture during accident,2140.0,Moderate
A08735,C05842,26/10/2024,Front-end collision,1170.0,Severe
A08736,C05844,30/09/2021,Windshield damage,3621.0,Severe
A08737,C05844,17/04/2025,Damage from pothole incident,1978.0,Minor
A08738,C05844,15/04/2023,Rear-end hit at traffic light,3520.0,Moderate
A08750,C05855,07/03/2025,Side swipe from passing vehicle,3901.0,Minor
A08751,C05855,07/04/2022,Head-on collision,2009.0,Major
A08752,C05855,09/07/2022,Parking lot scrape,4315.0,Severe
A08753,C05856,29/10/2021,Rear quarter panel dent,1271.0,Minor
A08754,C05856,07/10/2020,Front-end collision,3757.0,Minor
A08755,C05856,19/04/2025,Side panel scratch,2201.0,Moderate
A08757,C05858,10/12/2020,Minor parking lot accident,2111.0,Severe
A08758,C05858,07/11/2021,Side panel scratch,2332.0,Minor
A08763,C05861,07/05/2023,Rear bumper collision,4517.0,Major
A08764,C05863,31/10/2024,Side swipe from passing vehicle,3275.0,Severe
A08765,C05863,12/02/2025,Fender scratch from curb,4618.0,Minor
A08766,C05863,16/02/2025,Rear-end hit at traffic light,3478.0,Major
A08767,C05865,07/01/2022,Front-end collision,3469.0,Moderate
A08768,C05866,26/03/2022,Front bumper scrape,2892.0,Severe
A08769,C05866,02/01/2021,Collision with pole,4874.0,Severe
A08770,C05866,06/02/2025,Damage from pothole incident,1589.0,Major
A08781,C05873,15/10/2022,Front bumper scrape,571.0,Major
A08782,C05876,02/02/2022,Collision with pole,2087.0,Moderate
A08783,C05876,18/05/2024,Accident on slippery road,3403.0,Minor
A08784,C05877,07/02/2022,Parking lot scrape,2642.0,Moderate
A08788,C05879,10/12/2021,Parking lot scrape,1219.0,Minor
A08789,C05880,22/06/2021,Door dent from tight parking,4797.0,Moderate
A08792,C05882,26/05/2022,Hood dent from minor crash,1885.0,Minor
A08793,C05882,28/03/2023,Scratched paint on rear bumper,1364.0,Major
A08794,C05883,28/02/2025,Side panel scratch,1938.0,Moderate
A08795,C05884,22/06/2024,Parking lot scrape,2271.0,Severe
A08796,C05884,30/12/2021,Collision with pole,4013.0,Moderate
A08797,C05884,03/09/2022,Minor fender bender,3878.0,Minor
A08799,C05887,05/12/2024,Damage from pothole incident,4028.0,Minor
A08800,C05887,22/05/2021,Minor parking lot accident,2369.0,Major
A08806,C05894,09/08/2025,Parking lot scrape,544.0,Moderate
A08807,C05894,27/04/2022,Minor collision at roundabout,2632.0,Minor
A08824,C05905,01/11/2023,Hood dent from minor crash,634.0,Moderate
A08826,C05909,12/10/2024,Door dent from tight parking,4812.0,Major
A08827,C05909,25/09/2022,Front-end collision,923.0,Severe
A08849,C05924,06/01/2023,Minor parking lot accident,1044.0,Minor
A08853,C05926,28/04/2021,Damage from pothole incident,2057.0,Minor
A08854,C05926,21/06/2022,Front bumper scrape,885.0,Major
A08855,C05926,16/07/2021,Rear bumper collision,4121.0,Moderate
A08859,C05930,23/03/2024,Side panel scratch,2164.0,Major
A08863,C05932,07/04/2021,Minor fender bender,1675.0,Moderate
A08864,C05932,11/09/2022,Front bumper scrape,2830.0,Severe
A08869,C05936,22/07/2024,Head-on collision,498.0,Moderate
A08870,C05936,17/08/2021,Collision with pole,3101.0,Moderate
A08871,C05936,30/03/2022,Side swipe from passing vehicle,1558.0,Moderate
A08872,C05937,20/11/2020,Parking lot scrape,1492.0,Severe
A08879,C05941,17/05/2025,Fender scratch from curb,3171.0,Minor
A08880,C05941,13/01/2023,Hood dent from minor crash,1837.0,Minor
A08881,C05941,13/02/2024,Front-end collision,664.0,Minor
A08882,C05942,19/01/2021,Windshield damage,4965.0,Minor
A08883,C05942,15/10/2022,Rear quarter panel dent,4661.0,Minor
A08884,C05942,13/12/2022,Windshield damage,1546.0,Moderate
A08888,C05945,09/03/2024,Rear bumper collision,1742.0,Major
A08889,C05947,08/05/2022,Damage from pothole incident,4851.0,Moderate
A08901,C05955,03/03/2022,Minor fender bender,2351.0,Severe
A08902,C05955,16/01/2021,Parking lot scrape,3203.0,Minor
A08907,C05960,31/08/2024,Rear-end hit at traffic light,1007.0,Moderate
A08908,C05961,13/03/2023,Rear quarter panel dent,598.0,Minor
A08909,C05962,10/10/2020,Collision with pole,1245.0,Moderate
A08913,C05965,20/12/2023,Door dent from tight parking,1565.0,Major
A08916,C05967,12/02/2023,Accident on slippery road,306.0,Minor
A08927,C05976,22/10/2020,Scratched paint on rear bumper,3748.0,Moderate
A08928,C05976,31/07/2022,Side panel scratch,3452.0,Major
A08929,C05976,16/06/2023,Windshield damage,4208.0,Moderate
A08932,C05978,02/05/2025,Parking lot scrape,3491.0,Moderate
A08933,C05978,31/10/2021,Front-end collision,2038.0,Severe
A08934,C05978,05/02/2022,Minor collision at roundabout,454.0,Minor
A08942,C05982,06/11/2021,Front-end collision,2434.0,Major
A08953,C05991,26/11/2022,Rear bumper collision,4376.0,Minor
A08954,C05991,22/11/2021,Head-on collision,1213.0,Minor
A08955,C05991,26/12/2022,Rear-end hit at traffic light,3264.0,Minor
A08956,C05992,31/07/2022,Door dent from tight parking,4541.0,Severe
A08957,C05992,30/11/2021,Front-end collision,1952.0,Major
A08959,C05995,07/06/2021,Parking lot scrape,3240.0,Minor
A08960,C05995,13/10/2023,Parking lot scrape,3436.0,Moderate
A08961,C05995,06/07/2024,Minor collision at roundabout,3267.0,Moderate
A08975,C06003,31/03/2025,Minor collision at roundabout,929.0,Moderate
A08978,C06007,25/06/2021,Hood dent from minor crash,4378.0,Severe
A08984,C06014,26/09/2024,Scratched paint on rear bumper,2543.0,Moderate
A08985,C06014,16/09/2024,Minor collision at roundabout,2989.0,Minor
A08986,C06014,31/07/2024,Collision with pole,3621.0,Severe
A08987,C06015,18/09/2024,Scratched paint on rear bumper,1260.0,Moderate
A08988,C06015,18/04/2023,Tire puncture during accident,316.0,Major
A08989,C06015,18/03/2022,Minor parking lot accident,1598.0,Major
A08991,C06018,19/03/2021,Collision with pole,131.0,Major
A08992,C06018,10/01/2021,Damage from pothole incident,4133.0,Minor
A08995,C06021,03/08/2021,Windshield damage,4105.0,Moderate
A08997,C06025,14/06/2022,Minor fender bender,3762.0,Minor
A08998,C06026,20/08/2023,Windshield damage,2164.0,Minor
A08999,C06026,11/03/2024,Parking lot scrape,973.0,Minor
A09004,C06030,29/07/2025,Damage from pothole incident,529.0,Minor
A09005,C06030,03/10/2021,Head-on collision,2199.0,Minor
A09010,C06035,24/10/2020,Front-end collision,3016.0,Minor
A09014,C06037,09/06/2021,Fender scratch from curb,3658.0,Major
A09015,C06037,24/05/2021,Fender scratch from curb,719.0,Minor
A09023,C06043,07/12/2022,Front-end collision,1853.0,Moderate
A09024,C06043,25/03/2021,Damage from pothole incident,1278.0,Major
A09025,C06044,28/01/2025,Damage from pothole incident,2073.0,Moderate
A09026,C06044,22/04/2024,Parking lot scrape,3511.0,Severe
A09033,C06053,03/11/2020,Front bumper scrape,1669.0,Severe
A09034,C06053,02/10/2021,Rear-end hit at traffic light,2747.0,Moderate
A09052,C06063,04/05/2021,Damage from pothole incident,4411.0,Minor
A09053,C06063,26/08/2023,Parking lot scrape,635.0,Major
A09057,C06066,18/05/2023,Fender scratch from curb,2721.0,Moderate
A09058,C06066,01/08/2022,Fender scratch from curb,4447.0,Major
A09059,C06066,14/08/2025,Minor collision at roundabout,812.0,Minor
A09062,C06068,27/06/2022,Parking lot scrape,3052.0,Moderate
A09063,C06068,09/10/2021,Parking lot scrape,4217.0,Severe
A09064,C06068,23/10/2021,Side mirror broken,4785.0,Major
A09068,C06070,02/11/2021,Minor parking lot accident,3556.0,Severe
A09072,C06073,12/07/2023,Minor collision at roundabout,2419.0,Major
A09073,C06073,05/02/2022,Fender scratch from curb,2552.0,Moderate
A09074,C06073,29/08/2025,Side swipe from passing vehicle,4179.0,Major
A09077,C06076,02/11/2023,Tire puncture during accident,1717.0,Severe
A09078,C06076,05/05/2021,Minor collision at roundabout,385.0,Major
A09081,C06080,05/03/2021,Rear-end hit at traffic light,936.0,Major
A09082,C06080,23/03/2022,Front bumper scrape,580.0,Major
A09083,C06080,12/01/2025,Fender scratch from curb,4143.0,Moderate
A09085,C06082,02/12/2020,Side swipe from passing vehicle,1663.0,Severe
A09086,C06082,25/04/2021,Head-on collision,649.0,Severe
A09087,C06082,26/08/2024,Hood dent from minor crash,693.0,Minor
A09088,C06083,08/08/2024,Accident on slippery road,1290.0,Moderate
A09089,C06083,19/11/2020,Rear-end hit at traffic light,2613.0,Minor
A09119,C06101,04/02/2023,Damage from pothole incident,247.0,Severe
A09120,C06101,05/07/2021,Front bumper scrape,1333.0,Severe
A09130,C06109,27/11/2023,Side mirror broken,2322.0,Moderate
A09131,C06109,04/07/2024,Parking lot scrape,3631.0,Minor
A09132,C06109,16/02/2023,Accident on slippery road,2815.0,Severe
A09135,C06111,07/04/2021,Front bumper scrape,4268.0,Severe
A09136,C06111,02/10/2022,Minor collision at roundabout,142.0,Minor
A09137,C06111,31/08/2022,Rear bumper collision,4391.0,Severe
A09138,C06112,08/12/2021,Minor fender bender,3300.0,Severe
A09139,C06112,16/06/2025,Front bumper scrape,1392.0,Moderate
A09140,C06113,15/12/2022,Accident on slippery road,3307.0,Minor
A09141,C06114,15/05/2023,Rear-end hit at traffic light,1618.0,Severe
A09152,C06120,11/11/2021,Minor parking lot accident,4567.0,Moderate
A09153,C06120,11/05/2023,Accident on slippery road,1413.0,Severe
A09154,C06120,30/11/2024,Front bumper scrape,3051.0,Major
A09165,C06129,14/09/2023,Collision with pole,162.0,Moderate
A09166,C06129,25/12/2022,Tire puncture during accident,2157.0,Minor
A09167,C06129,01/09/2021,Minor fender bender,4482.0,Minor
A09168,C06130,21/01/2025,Door dent from tight parking,3418.0,Minor
A09169,C06130,09/07/2023,Side panel scratch,1248.0,Moderate
A09170,C06130,20/04/2023,Collision with pole,3292.0,Severe
A09174,C06133,04/07/2025,Head-on collision,3131.0,Moderate
A09175,C06134,30/07/2024,Rear quarter panel dent,423.0,Moderate
A09176,C06135,10/11/2020,Rear quarter panel dent,4780.0,Major
A09177,C06135,03/03/2022,Door dent from tight parking,3396.0,Moderate
A09178,C06137,31/08/2023,Accident on slippery road,4454.0,Moderate
A09179,C06137,24/11/2024,Fender scratch from curb,1634.0,Severe
A09180,C06138,21/02/2024,Side panel scratch,2848.0,Moderate
A09183,C06141,23/12/2024,Door dent from tight parking,1853.0,Minor
A09184,C06141,21/09/2021,Side panel scratch,2479.0,Minor
A09185,C06141,20/02/2025,Side mirror broken,4350.0,Moderate
A09192,C06147,15/05/2023,Windshield damage,2708.0,Severe
A09196,C06150,23/04/2022,Rear quarter panel dent,2124.0,Moderate
A09197,C06150,02/06/2023,Tire puncture during accident,1027.0,Major
A09198,C06150,18/01/2025,Minor collision at roundabout,1938.0,Minor
A09217,C06162,11/11/2022,Windshield damage,3581.0,Severe
A09218,C06162,30/03/2024,Tire puncture during accident,2443.0,Minor
A09226,C06166,23/08/2024,Minor collision at roundabout,2132.0,Major
A09227,C06166,21/06/2024,Damage from pothole incident,2679.0,Minor
A09228,C06167,16/07/2023,Rear bumper collision,4500.0,Moderate
A09229,C06168,23/03/2025,Accident on slippery road,1807.0,Major
A09230,C06168,06/12/2022,Damage from pothole incident,4857.0,Major
A09241,C06177,21/01/2022,Front-end collision,2033.0,Major
A09244,C06180,10/07/2021,Tire puncture during accident,4158.0,Moderate
A09245,C06182,05/12/2020,Rear quarter panel dent,196.0,Major
A09246,C06185,28/10/2024,Front bumper scrape,3696.0,Minor
A09247,C06185,22/08/2024,Collision with pole,421.0,Minor
A09250,C06187,25/03/2021,Rear bumper collision,3049.0,Moderate
A09251,C06187,25/02/2025,Rear bumper collision,4964.0,Major
A09255,C06189,23/07/2023,Side panel scratch,1425.0,Major
A09256,C06189,24/01/2022,Side swipe from passing vehicle,3348.0,Moderate
A09260,C06194,19/09/2024,Damage from pothole incident,2032.0,Major
A09261,C06194,23/05/2024,Rear bumper collision,3019.0,Minor
A09262,C06195,18/10/2020,Rear-end hit at traffic light,4681.0,Minor
A09263,C06195,05/05/2022,Minor collision at roundabout,3068.0,Minor
A09264,C06195,25/02/2024,Head-on collision,3989.0,Minor
A09268,C06197,13/12/2020,Scratched paint on rear bumper,1859.0,Severe
A09269,C06197,13/03/2022,Collision with pole,324.0,Severe
A09270,C06198,14/08/2024,Rear bumper collision,3169.0,Moderate
A09274,C06200,23/02/2021,Minor parking lot accident,2327.0,Moderate
A09275,C06200,12/07/2025,Windshield damage,3982.0,Moderate
A09276,C06200,02/09/2020,Front bumper scrape,535.0,Minor
A09280,C06206,30/01/2021,Hood dent from minor crash,4834.0,Moderate
A09281,C06206,29/03/2021,Minor collision at roundabout,4941.0,Severe
A09282,C06207,24/10/2022,Rear-end hit at traffic light,4420.0,Minor
A09283,C06207,12/04/2021,Fender scratch from curb,3860.0,Severe
A09287,C06212,08/07/2024,Hood dent from minor crash,3978.0,Major
A09288,C06212,23/07/2022,Accident on slippery road,1901.0,Severe
A09292,C06216,09/12/2022,Head-on collision,3558.0,Major
A09293,C06216,17/01/2021,Head-on collision,3024.0,Moderate
A09294,C06217,08/07/2023,Accident on slippery road,3161.0,Moderate
A09295,C06217,27/05/2023,Accident on slippery road,972.0,Severe
A09296,C06217,11/12/2023,Side panel scratch,4606.0,Moderate
A09297,C06218,09/05/2024,Side swipe from passing vehicle,700.0,Major
A09300,C06223,27/09/2021,Minor collision at roundabout,4811.0,Severe
A09301,C06223,11/08/2023,Windshield damage,2197.0,Minor
A09303,C06225,02/03/2025,Rear bumper collision,4453.0,Moderate
A09304,C06225,28/03/2025,Damage from pothole incident,2358.0,Minor
A09315,C06231,01/07/2023,Door dent from tight parking,1874.0,Moderate
A09316,C06231,17/06/2023,Accident on slippery road,1042.0,Major
A09317,C06232,09/07/2025,Side panel scratch,403.0,Severe
A09318,C06232,09/10/2024,Rear quarter panel dent,2769.0,Moderate
A09319,C06232,01/01/2024,Rear-end hit at traffic light,1034.0,Severe
A09320,C06233,27/03/2024,Minor collision at roundabout,244.0,Moderate
A09321,C06234,28/03/2023,Door dent from tight parking,2678.0,Moderate
A09322,C06234,31/03/2021,Accident on slippery road,4686.0,Major
A09323,C06234,17/07/2023,Minor collision at roundabout,629.0,Minor
A09324,C06235,12/12/2022,Parking lot scrape,953.0,Major
A09325,C06235,03/10/2023,Rear-end hit at traffic light,2369.0,Moderate
A09326,C06235,08/01/2023,Accident on slippery road,4322.0,Moderate
A09330,C06238,06/08/2023,Hood dent from minor crash,744.0,Major
A09331,C06238,23/03/2023,Parking lot scrape,1301.0,Minor
A09342,C06245,26/05/2023,Side swipe from passing vehicle,1115.0,Minor
A09343,C06245,15/10/2024,Minor parking lot accident,1900.0,Major
A09344,C06245,28/12/2024,Rear quarter panel dent,4893.0,Severe
A09345,C06246,01/01/2024,Front-end collision,2634.0,Minor
A09346,C06246,26/07/2023,Windshield damage,3454.0,Moderate
A09347,C06246,30/05/2024,Minor parking lot accident,874.0,Severe
A09354,C06254,20/09/2020,Parking lot scrape,126.0,Major
A09355,C06254,18/12/2023,Door dent from tight parking,1120.0,Minor
A09370,C06263,26/07/2022,Door dent from tight parking,402.0,Moderate
A09371,C06263,27/07/2025,Door dent from tight parking,4760.0,Minor
A09376,C06267,18/07/2024,Head-on collision,3930.0,Severe
A09377,C06267,15/06/2022,Tire puncture during accident,1597.0,Minor
A09378,C06267,23/01/2021,Parking lot scrape,3734.0,Severe
A09379,C06268,30/10/2024,Side panel scratch,2226.0,Major
A09380,C06268,17/03/2023,Minor fender bender,3511.0,Severe
A09381,C06269,05/01/2021,Minor collision at roundabout,1019.0,Minor
A09383,C06272,25/01/2025,Minor parking lot accident,426.0,Severe
A09384,C06272,18/07/2022,Tire puncture during accident,2173.0,Moderate
A09385,C06272,22/12/2024,Side swipe from passing vehicle,2005.0,Severe
A09386,C06273,10/05/2021,Rear-end hit at traffic light,2809.0,Moderate
A09399,C06283,23/05/2025,Tire puncture during accident,909.0,Moderate
A09400,C06283,27/09/2022,Fender scratch from curb,2728.0,Major
A09401,C06283,14/05/2024,Windshield damage,2498.0,Moderate
A09417,C06294,13/12/2024,Head-on collision,3725.0,Minor
A09418,C06294,29/07/2025,Accident on slippery road,1372.0,Moderate
A09419,C06294,18/08/2024,Scratched paint on rear bumper,1175.0,Minor
A09432,C06302,30/01/2022,Minor collision at roundabout,1069.0,Major
A09433,C06302,25/01/2022,Side panel scratch,2616.0,Moderate
A09434,C06302,28/02/2023,Side swipe from passing vehicle,1572.0,Severe
A09449,C06312,09/10/2022,Fender scratch from curb,1911.0,Major
A09450,C06313,21/10/2022,Hood dent from minor crash,1003.0,Minor
A09451,C06313,16/01/2023,Minor parking lot accident,3345.0,Major
A09455,C06315,24/10/2024,Side swipe from passing vehicle,1190.0,Minor
A09459,C06317,16/08/2021,Head-on collision,235.0,Severe
A09460,C06317,16/07/2022,Minor parking lot accident,3057.0,Moderate
A09462,C06320,06/01/2023,Rear quarter panel dent,3553.0,Moderate
A09463,C06320,13/05/2023,Parking lot scrape,4707.0,Major
A09468,C06325,16/11/2020,Windshield damage,3204.0,Minor
A09469,C06327,27/10/2024,Rear bumper collision,4951.0,Major
A09470,C06327,29/06/2021,Collision with pole,606.0,Moderate
A09472,C06329,04/12/2023,Windshield damage,1758.0,Minor
A09473,C06329,20/05/2021,Tire puncture during accident,3010.0,Major
A09474,C06329,13/12/2022,Side mirror broken,4765.0,Minor
A09475,C06330,22/01/2023,Minor collision at roundabout,1731.0,Moderate
A09481,C06335,19/07/2021,Damage from pothole incident,4422.0,Major
A09482,C06335,16/01/2024,Accident on slippery road,275.0,Major
A09483,C06335,17/06/2022,Rear quarter panel dent,4898.0,Severe
A09491,C06340,28/07/2023,Minor collision at roundabout,2419.0,Major
A09492,C06340,26/03/2024,Head-on collision,491.0,Severe
A09493,C06341,20/05/2024,Fender scratch from curb,1586.0,Minor
A09494,C06341,03/12/2022,Parking lot scrape,3943.0,Minor
A09495,C06341,10/11/2020,Head-on collision,2277.0,Major
A09499,C06343,17/06/2023,Minor fender bender,1559.0,Severe
A09500,C06343,15/02/2022,Windshield damage,2053.0,Minor
A09501,C06343,10/08/2023,Side swipe from passing vehicle,2425.0,Moderate
A09508,C06347,16/07/2025,Rear quarter panel dent,3127.0,Minor
A09509,C06347,08/05/2025,Front-end collision,293.0,Minor
A09510,C06348,20/05/2022,Minor fender bender,2300.0,Moderate
A09511,C06348,18/02/2024,Front-end collision,144.0,Minor
A09512,C06348,03/09/2023,Hood dent from minor crash,2073.0,Severe
A09513,C06349,10/06/2023,Front bumper scrape,306.0,Minor
A09514,C06349,02/10/2023,Tire puncture during accident,1346.0,Severe
A09519,C06353,07/08/2022,Door dent from tight parking,4465.0,Moderate
A09520,C06353,30/01/2025,Minor collision at roundabout,4580.0,Major
A09524,C06355,21/07/2023,Side mirror broken,4480.0,Severe
A09525,C06355,03/06/2023,Tire puncture during accident,4372.0,Moderate
A09526,C06356,05/11/2020,Accident on slippery road,4065.0,Major
A09534,C06362,14/11/2020,Accident on slippery road,732.0,Major
A09535,C06362,26/09/2022,Damage from pothole incident,1935.0,Severe
A09536,C06362,21/07/2021,Minor parking lot accident,3583.0,Moderate
A09537,C06364,28/08/2024,Rear bumper collision,2045.0,Moderate
A09538,C06364,14/04/2022,Collision with pole,4279.0,Moderate
A09541,C06366,28/02/2022,Minor fender bender,2659.0,Major
A09542,C06366,13/10/2024,Minor fender bender,295.0,Minor
A09543,C06367,20/10/2020,Side swipe from passing vehicle,3050.0,Minor
A09544,C06367,14/01/2023,Accident on slippery road,3133.0,Moderate
A09545,C06367,04/05/2025,Damage from pothole incident,1702.0,Major
A09546,C06368,11/11/2021,Head-on collision,1936.0,Minor
A09547,C06368,05/04/2021,Front-end collision,592.0,Major
A09548,C06368,02/09/2024,Fender scratch from curb,4304.0,Severe
A09559,C06374,26/07/2021,Rear quarter panel dent,4880.0,Minor
A09566,C06382,27/11/2023,Damage from pothole incident,4276.0,Minor
A09567,C06382,05/08/2021,Scratched paint on rear bumper,2778.0,Major
A09568,C06382,13/03/2024,Front bumper scrape,3061.0,Severe
A09571,C06384,14/06/2022,Side swipe from passing vehicle,2479.0,Moderate
A09572,C06384,24/06/2024,Windshield damage,4444.0,Moderate
A09573,C06384,04/08/2024,Side swipe from passing vehicle,446.0,Severe
A09591,C06391,02/12/2024,Scratched paint on rear bumper,4666.0,Severe
A09592,C06393,30/08/2021,Hood dent from minor crash,4865.0,Major
A09593,C06393,17/07/2025,Head-on collision,4691.0,Severe
A09594,C06395,09/09/2020,Windshield damage,3936.0,Major
A09595,C06395,08/10/2021,Windshield damage,4431.0,Major
A09600,C06400,13/07/2022,Minor fender bender,1241.0,Severe
A09601,C06401,29/03/2022,Windshield damage,4283.0,Moderate
A09602,C06401,17/08/2024,Accident on slippery road,2430.0,Moderate
A09603,C06402,03/07/2024,Side mirror broken,1284.0,Moderate
A09604,C06402,14/02/2024,Hood dent from minor crash,158.0,Severe
A09605,C06402,12/08/2021,Head-on collision,1225.0,Minor
